id_municipio,codigo_estado,codigo_municipio,nome_municipio,ddd_municipio
1,31,104,Abadia dos Dourados,0
2,52,100,Abadiânia,0
3,31,203,Abaeté,0
4,15,107,Abaetetuba,0
5,23,101,Abaiara,0
6,29,108,Abaíra,0
7,29,207,Abaré,0
8,41,103,Abatiá,0
9,42,51,Abdon Batista,0
10,15,131,Abel Figueiredo,0
11,42,101,Abelardo Luz,0
12,31,302,Abre Campo,0
13,26,54,Abreu e Lima,0
14,17,251,Abreulândia,0
15,31,401,Acaiaca,0
16,21,55,Açailândia,0
17,29,306,Acajutiba,0
18,15,206,Acará,0
19,23,150,Acarape,0
20,23,200,Acaraú,0
21,24,109,Acari,0
22,22,53,Acauã,0
23,43,34,Aceguá,0
24,23,309,Acopiara,0
25,51,102,Acorizal,0
26,12,13,Acrelândia,0
27,52,134,Acreúna,0
28,24,208,Açu,0
29,31,500,Açucena,0
30,35,105,Adamantina,0
31,52,159,Adelândia,0
32,35,204,Adolfo,0
33,41,202,Adrianópolis,0
34,29,355,Adustina,0
35,26,104,Afogados da Ingazeira,0
36,24,307,Afonso Bezerra,0
37,32,102,Afonso Cláudio,0
38,21,105,Afonso Cunha,0
39,26,203,Afrânio,0
40,15,305,Afuá,0
41,26,302,Agrestina,0
42,22,103,Agricolândia,0
43,42,200,Agrolândia,0
44,42,309,Agronômica,0
45,15,347,Água Azul do Norte,0
46,31,609,Água Boa,0
47,51,201,Água Boa,0
48,22,202,Água Branca,0
49,25,106,Água Branca,0
50,27,102,Água Branca,0
51,50,203,Água Clara,0
52,31,708,Água Comprida,0
53,42,408,Água Doce,0
54,21,154,Água Doce do Maranhão,0
55,32,169,Água Doce do Norte,0
56,29,405,Água Fria,0
57,52,175,Água Fria de Goiás,0
58,52,209,Água Limpa,0
59,24,406,Água Nova,0
60,26,401,Água Preta,0
61,43,59,Água Santa,0
62,35,303,Aguaí,0
63,31,807,Aguanil,0
64,26,500,Águas Belas,0
65,35,402,Águas da Prata,0
66,42,507,Águas de Chapecó,0
67,35,501,Águas de Lindóia,0
68,35,550,Águas de Santa Bárbara,0
69,35,600,Águas de São Pedro,0
70,31,906,Águas Formosas,0
71,42,556,Águas Frias,0
72,52,258,Águas Lindas de Goiás,0
73,42,606,Águas Mornas,0
74,31,1003,Águas Vermelhas,0
75,43,109,Agudo,0
76,35,709,Agudos,0
77,41,301,Agudos do Sul,0
78,32,136,Águia Branca,0
79,25,205,Aguiar,0
80,17,301,Aguiarnópolis,0
81,31,1102,Aimorés,0
82,29,603,Aiquara,0
83,23,408,Aiuaba,0
84,31,1201,Aiuruoca,0
85,43,208,Ajuricaba,0
86,31,1300,Alagoa,0
87,25,304,Alagoa Grande,0
88,25,403,Alagoa Nova,0
89,25,502,Alagoinha,0
90,26,609,Alagoinha,0
91,22,251,Alagoinha do Piauí,0
92,29,702,Alagoinhas,0
93,35,758,Alambari,0
94,31,1409,Albertina,0
95,21,204,Alcântara,0
96,23,507,Alcântaras,0
97,25,536,Alcantil,0
98,50,252,Alcinópolis,0
99,29,801,Alcobaça,0
100,21,303,Aldeias Altas,0
101,43,307,Alecrim,0
102,32,201,Alegre,0
103,43,406,Alegrete,0
104,22,277,Alegrete do Piauí,0
105,43,455,Alegria,0
106,31,1508,Além Paraíba,0
107,15,404,Alenquer,0
108,24,505,Alexandria,0
109,52,308,Alexânia,0
110,31,1607,Alfenas,0
111,32,300,Alfredo Chaves,0
112,35,808,Alfredo Marcondes,0
113,31,1631,Alfredo Vasconcelos,0
114,42,705,Alfredo Wagner,0
115,25,577,Algodão de Jandaíra,0
116,25,601,Alhandra,0
117,26,708,Aliança,0
118,17,350,Aliança do Tocantins,0
119,29,900,Almadina,0
120,17,400,Almas,0
121,15,503,Almeirim,0
122,31,1706,Almenara,0
123,24,604,Almino Afonso,0
124,41,400,Almirante Tamandaré,0
125,43,471,Almirante Tamandaré do Sul,0
126,52,506,Aloândia,0
127,31,1805,Alpercata,0
128,43,505,Alpestre,0
129,31,1904,Alpinópolis,0
130,51,250,Alta Floresta,0
131,11,15,Alta Floresta D'Oeste,0
132,35,907,Altair,0
133,15,602,Altamira,0
134,21,402,Altamira do Maranhão,0
135,41,459,Altamira do Paraná,0
136,23,606,Altaneira,0
137,31,2001,Alterosa,0
138,26,807,Altinho,0
139,35,1004,Altinópolis,0
140,14,50,Alto Alegre,0
141,35,1103,Alto Alegre,0
142,43,554,Alto Alegre,0
143,21,436,Alto Alegre do Maranhão,0
144,21,477,Alto Alegre do Pindaré,0
145,11,379,Alto Alegre dos Parecis,0
146,51,300,Alto Araguaia,0
147,42,754,Alto Bela Vista,0
148,51,359,Alto Boa Vista,0
149,31,2050,Alto Caparaó,0
150,24,703,Alto do Rodrigues,0
151,43,570,Alto Feliz,0
152,51,409,Alto Garças,0
153,52,555,Alto Horizonte,0
154,31,53509,Alto Jequitibá,0
155,22,301,Alto Longá,0
156,51,508,Alto Paraguai,0
157,11,403,Alto Paraíso,0
158,41,28625,Alto Paraíso,0
159,52,605,Alto Paraíso de Goiás,0
160,41,608,Alto Paraná,0
161,21,501,Alto Parnaíba,0
162,41,707,Alto Piquiri,0
163,31,2100,Alto Rio Doce,0
164,32,359,Alto Rio Novo,0
165,23,705,Alto Santo,0
166,51,607,Alto Taquari,0
167,41,509,Altônia,0
168,22,400,Altos,0
169,35,1152,Alumínio,0
170,13,29,Alvarães,0
171,31,2209,Alvarenga,0
172,35,1202,Álvares Florence,0
173,35,1301,Álvares Machado,0
174,35,1400,Álvaro de Carvalho,0
175,35,1509,Alvinlândia,0
176,31,2308,Alvinópolis,0
177,17,707,Alvorada,0
178,43,604,Alvorada,0
179,31,2407,Alvorada de Minas,0
180,22,459,Alvorada do Gurguéia,0
181,52,803,Alvorada do Norte,0
182,41,806,Alvorada do Sul,0
183,11,346,Alvorada D'Oeste,0
184,14,27,Amajari,0
185,50,609,Amambai,0
186,16,105,Amapá,0
187,21,550,Amapá do Maranhão,0
188,41,905,Amaporã,0
189,26,906,Amaraji,0
190,43,638,Amaral Ferrador,0
191,52,829,Amaralina,0
192,22,509,Amarante,0
193,21,600,Amarante do Maranhão,0
194,29,1007,Amargosa,0
195,13,60,Amaturá,0
196,29,1106,Amélia Rodrigues,0
197,29,1155,América Dourada,0
198,35,1608,Americana,0
199,52,852,Americano do Brasil,0
200,35,1707,Américo Brasiliense,0
201,35,1806,Américo de Campos,0
202,43,646,Ametista do Sul,0
203,23,754,Amontada,0
204,52,902,Amorinópolis,0
205,25,734,Amparo,0
206,35,1905,Amparo,0
207,28,100,Amparo de São Francisco,0
208,31,2506,Amparo do Serra,0
209,41,1002,Ampére,0
210,27,201,Anadia,0
211,29,1205,Anagé,0
212,41,1051,Anahy,0
213,15,701,Anajás,0
214,21,709,Anajatuba,0
215,35,2002,Analândia,0
216,13,86,Anamã,0
217,17,1002,Ananás,0
218,15,800,Ananindeua,0
219,52,1108,Anápolis,0
220,15,859,Anapu,0
221,21,808,Anapurus,0
222,50,708,Anastácio,0
223,50,807,Anaurilândia,0
224,32,409,Anchieta,0
225,42,804,Anchieta,0
226,29,1304,Andaraí,0
227,41,1101,Andirá,0
228,29,1353,Andorinha,0
229,31,2605,Andradas,0
230,35,2101,Andradina,0
231,43,661,André da Rocha,0
232,31,2803,Andrelândia,0
233,35,2200,Angatuba,0
234,31,2852,Angelândia,0
235,50,856,Angélica,0
236,26,1003,Angelim,0
237,42,903,Angelina,0
238,29,1403,Angical,0
239,22,608,Angical do Piauí,0
240,17,1051,Angico,0
241,24,802,Angicos,0
242,33,100,Angra dos Reis,0
243,29,1502,Anguera,0
244,41,1150,Ângulo,0
245,52,1207,Anhanguera,0
246,35,2309,Anhembi,0
247,35,2408,Anhumas,0
248,52,1306,Anicuns,0
249,22,707,Anísio de Abreu,0
250,42,1000,Anita Garibaldi,0
251,42,1109,Anitápolis,0
252,13,102,Anori,0
253,43,703,Anta Gorda,0
254,29,1601,Antas,0
255,41,1200,Antonina,0
256,23,804,Antonina do Norte,0
257,22,806,Antônio Almeida,0
258,29,1700,Antônio Cardoso,0
259,31,2902,Antônio Carlos,0
260,42,1208,Antônio Carlos,0
261,31,3009,Antônio Dias,0
262,29,1809,Antônio Gonçalves,0
263,50,906,Antônio João,0
264,24,901,Antônio Martins,0
265,41,1309,Antônio Olinto,0
266,43,802,Antônio Prado,0
267,31,3108,Antônio Prado de Minas,0
268,25,775,Aparecida,0
269,35,2507,Aparecida,0
270,52,1405,Aparecida de Goiânia,0
271,52,1454,Aparecida do Rio Doce,0
272,17,1101,Aparecida do Rio Negro,0
273,50,1003,Aparecida do Taboado,0
274,35,2606,Aparecida d'Oeste,0
275,33,159,Aperibé,0
276,32,508,Apiacá,0
277,51,805,Apiacás,0
278,35,2705,Apiaí,0
279,21,832,Apicum-Açu,0
